t,Rd,Ts,mpp,Tg_mean,Tl_mean,Tg_if,Tg_far,Tl_center,Tl_if,energy_balance_if,mass_balance_rd
0.0001,0.0001,300.0,0.0,300.0,299.99999999999994,300.0,300.0,299.99999999999994,299.99999999999994,,
0.0001,0.0001,300.0,0.0,300.0,299.99999999999994,300.0,300.0,299.99999999999994,299.99999999999994,,
0.0002,0.0001,300.0,0.0,300.0,299.99999999999994,300.0,300.0,299.99999999999994,299.99999999999994,,
0.00030000000000000003,0.0001,300.0,0.0,300.0,299.99999999999994,300.0,300.0,299.99999999999994,299.99999999999994,,
0.0004,0.0001,300.0,0.0,300.0,299.99999999999994,300.0,300.0,299.99999999999994,299.99999999999994,,
0.0005,0.0001,300.0,0.0,300.0,299.99999999999994,300.0,300.0,299.99999999999994,299.99999999999994,,
0.0006000000000000001,0.0001,300.0,0.0,300.0,299.99999999999994,300.0,300.0,299.99999999999994,299.99999999999994,,
0.0007000000000000001,0.0001,300.0,0.0,300.0,299.99999999999994,300.0,300.0,299.99999999999994,299.99999999999994,,
0.0008000000000000001,0.0001,300.0,0.0,300.0,299.99999999999994,300.0,300.0,299.99999999999994,299.99999999999994,,
0.0001,0.0001,300.0,0.014101486413646256,300.0,299.99999999999994,300.0,300.0,299.99999999999994,299.99999999999994,,
0.0002,0.0001,300.0,0.009792424451218392,299.9998748647121,299.99999999999994,299.9996693896461,300.0,299.99999999999994,299.99999999999994,,
0.00030000000000000003,0.0001,300.0,0.007334045737889896,299.9999130743136,299.99999999999994,299.99977036519266,300.0,299.99999999999994,299.99999999999994,,
0.0004,0.0001,300.0,0.005930268160256633,299.9999348984539,299.99999999999994,299.9998280174901,300.0,299.99999999999994,299.99999999999994,,
0.0005,0.0001,300.0,0.005127467813601599,299.99994736043874,299.99999999999994,299.9998609379996,300.0,299.99999999999994,299.99999999999994,,
0.0006000000000000001,0.0001,300.0,0.004667160212310062,299.9999544872671,299.99999999999994,299.9998797647658,300.0,299.99999999999994,299.99999999999994,,
0.0007000000000000001,0.0001,300.0,0.00440205515204917,299.9999585736258,299.99999999999994,299.99989055960265,300.0,299.99999999999994,299.99999999999994,,
0.0008000000000000001,0.0001,300.0,0.004248223122529437,299.99996092707926,299.99999999999994,299.99989677666855,300.0,299.99999999999994,299.99999999999994,,
0.0001,9.858985135863538e-05,300.0,0.014101486413646256,300.0,299.99999999999994,300.0,300.0,299.99999999999994,299.99999999999994,,0.0
0.0002,9.761060891351353e-05,300.0,0.009792424451218392,299.9998783690159,299.99999999999994,299.99967864809844,300.0,299.99999999999994,299.99999999999994,,1.7224204811808818e-13
0.00030000000000000003,9.687720433972454e-05,300.0,0.007334045737889896,299.9999171781224,299.99999999999994,299.9997812068529,300.0,299.99999999999994,299.99999999999994,,1.1724494780911622e-13
0.0004,9.628417752369888e-05,300.0,0.005930268160256633,299.99993890065804,299.99999999999994,299.9998385905897,300.0,299.99999999999994,299.99999999999994,,8.649612928784867e-14
0.0005,9.577143074233872e-05,300.0,0.005127467813601599,299.99995119957043,299.99999999999994,299.99987108027847,300.0,299.99999999999994,299.99999999999994,,6.908663595300552e-14
0.0006000000000000001,9.530471472110772e-05,300.0,0.004667160212310062,299.99995825484154,299.99999999999994,299.99988971802156,300.0,299.99999999999994,299.99999999999994,,5.909962943679215e-14
0.0007000000000000001,9.486450920590279e-05,300.0,0.00440205515204917,299.9999623723773,299.99999999999994,299.99990059524316,300.0,299.99999999999994,299.99999999999994,,5.327106077084581e-14
