step,t_old,t_new,dt,Rd,mpp,A_if,m_dot,m_evap_cum,m_drop,m_drop0,mass_closure_err,Ts,Tg0,Tg_min,Tg_max,Tg_if,Tl_if,sumYg0,cp_g0,k_g0,Yg0_NC12H26,Yg_eq_NC12H26
29,2.800000000000001e-05,2.900000000000001e-05,1e-06,0.00010000000541949271,1.6072299065979648e-05,1.256637197642629e-07,2.0197048857946908e-12,2.404318590088449e-16,3.1231477405240365e-09,3.1179754634843987e-09,5.172517471496586e-12,289.1103878059953,317.3021185330152,317.3021185330152,900.0000000000016,317.3021185330152,291.35593585620717,0.9999999999999999,1040.2215727553312,0.027530968120722206,7.777121264655286e-05,0.0004904727694563369
30,2.900000000000001e-05,3.000000000000001e-05,1e-06,0.00010000000539831553,1.5899159506120912e-05,1.2566371971103884e-07,1.997947523818277e-12,2.4244068521365137e-16,3.1232263313338235e-09,3.1179754634843987e-09,5.251110290109963e-12,289.03824281406406,316.99677790713173,316.99677790713173,900.0000000000016,316.99677790713173,291.2632819593274,1.0,1040.210914277318,0.027512668394414762,7.726096535211887e-05,0.0004873025879566779
31,3.000000000000001e-05,3.100000000000001e-05,1e-06,0.0001000000053773605,1.57338119949839e-05,1.2566371965837308e-07,1.9771693396952042e-12,2.444282436454081e-16,3.123303195529134e-09,3.1179754634843987e-09,5.327976472978918e-12,288.96860185862863,316.70523288237877,316.70523288237877,900.0000000000016,316.70523288237877,291.17414972263504,1.0,1040.2007870049792,0.02749519987558956,7.677169295091528e-05,0.0004842600353325746
32,3.100000000000001e-05,3.2000000000000005e-05,1e-06,0.00010000000535661778,1.5575762089681582e-05,1.2566371960624095e-07,1.957308199891264e-12,2.4639548241520134e-16,3.1233784335723816e-09,3.1179754634843987e-09,5.4032164834652485e-12,288.9013230317443,316.4264604157285,316.4264604157285,900.0000000000016,316.4264604157285,291.0883163989675,0.9999999999999999,1040.1911488151957,0.027478500692216083,7.630205443079775e-05,0.0004813370163341623
33,3.2000000000000005e-05,3.3e-05,1e-06,0.00010000000533607822,1.542452782961988e-05,1.256637195546194e-07,1.938303539443775e-12,2.483432882848689e-16,3.123452138549422e-09,3.1179754634843987e-09,5.47692340831189e-12,288.8362719644915,316.15953890386675,316.15953890386675,900.0000000000016,316.15953890386675,291.00557548730035,1.0,1040.1819619916796,0.027462515127000018,7.585080335958293e-05,0.000478525975284829
34,3.3e-05,3.4e-05,1e-06,0.00010000000531573326,1.5279645207583027e-05,1.2566371950348694e-07,1.920097049478512e-12,2.5027248857933e-16,3.1235243968582904e-09,3.1179754634843987e-09,5.549183646380382e-12,288.773321523826,315.90363537014633,315.90363537014633,900.0000000000016,315.90363537014633,290.9257352589487,1.0,1040.1731926459488,0.02744719283812732,7.541678027034725e-05,0.0004758198601465112
35,3.4e-05,3.5e-05,1e-06,0.00010000000529557494,1.5140671598815193e-05,1.2566371945282354e-07,1.9026331081208458e-12,2.521838536581297e-16,3.123595288815708e-09,3.1179754634843987e-09,5.6200775151628525e-12,288.71235149385325,315.6579946144289,315.6579946144289,900.0000000000016,315.6579946144289,290.84861745504935,1.0,1040.1648102299505,0.02743248819957882,7.49989057499562e-05,0.0004732120882932186
36,3.5e-05,3.5999999999999994e-05,1e-06,0.00010000000527559584,1.5007187714996276e-05,1.256637194026106e-07,1.8858590260395972e-12,2.540780997252099e-16,3.123664889193457e-09,3.1179754634843987e-09,5.689679787158187e-12,288.65324825105085,315.4219299760106,315.4219299760106,900.0000000000016,315.4219299760106,290.77405613059096,1.0,1040.1567871229613,0.02741835973969856,7.459617416067484e-05,0.0004706965141850331
37,3.5999999999999994e-05,3.699999999999999e-05,1e-06,0.00010000000525578915,1.4878798521346216e-05,1.2566371935283093e-07,1.8697251616937667e-12,2.559558918190766e-16,3.1237332676946057e-09,3.1179754634843987e-09,5.758060166098933e-12,288.5959044401402,315.1948154302193,315.1948154302193,900.0000000000016,315.1948154302193,290.70189662448706,1.0,1040.149098280245,0.027404769660955817,7.420764792918874e-05,0.00046826739902163645
38,3.699999999999999e-05,3.799999999999999e-05,1e-06,0.00010000000523614846,1.4755133409373303e-05,1.256637193034685e-07,1.8541849430407168e-12,2.578178468714438e-16,3.1238004893779153e-09,3.1179754634843987e-09,5.825283711363609e-12,288.54021865527295,314.97607879402995,314.97607879402995,900.0000000000016,314.97607879402995,290.6319946385942,1.0,1040.1417209321667,0.02739168342722155,7.383245234701941e-05,0.0004659193823794527
39,3.799999999999999e-05,3.8999999999999986e-05,1e-06,0.00010000000521666791,1.4635845864808953e-05,1.2566371925450854e-07,1.839194825807612e-12,2.59664536755868e-16,3.123866615037398e-09,3.1179754634843987e-09,5.891411217535976e-12,288.48609512970995,314.76519585887496,314.76519585887496,900.0000000000016,314.76519585887496,290.56421541133636,1.0,1040.1346343259454,0.02737906940746285,7.346977082955085e-05,0.00046364745578736437
40,3.8999999999999986e-05,3.999999999999998e-05,1e-06,0.00010000000519734202,1.4520612779595248e-05,1.2566371920593726e-07,1.8247142070332015e-12,2.614964912722884e-16,3.123931701542856e-09,3.1179754634843987e-09,5.956499554948674e-12,288.43344343608646,314.5616853026329,314.5616853026329,900.0000000000016,314.5616853026329,290.49843297384245,1.0,1040.127819502431,0.02736689856684637,7.311884058925055e-05,0.0004614469381649404
41,3.999999999999998e-05,4.099999999999998e-05,1e-06,0.00010000000517816575,1.4409133541976944e-05,1.2566371915774204e-07,1.8107053107253916e-12,2.633142010311677e-16,3.12399580214639e-09,3.1179754634843987e-09,6.020601976192521e-12,288.38217819857937,314.36510425958056,314.36510425958056,900.0000000000016,314.36510425958056,290.4345294783552,1.0,1040.1212591029728,0.02735514419785435,7.277894868072163e-05,0.00045931345302912467
42,4.099999999999998e-05,4.199999999999998e-05,1e-06,0.00010000000515913442,1.430112897690535e-05,1.256637191099111e-07,1.7971330547084441e-12,2.651181202138846e-16,3.1240589667590342e-09,3.1179754634843987e-09,6.083768392755899e-12,288.3322188177163,314.1750444485282,314.1750444485282,900.0000000000016,314.1750444485282,290.3723945901843,0.9999999999999999,1040.1149372010611,0.027343781685354496,7.244942838248992e-05,0.0004572429073654205
43,4.199999999999998e-05,4.2999999999999975e-05,1e-06,0.00010000000514024372,1.4196340213911368e-05,1.2566371906243357e-07,1.7839649083556864e-12,2.669086691954167e-16,3.124121242201147e-09,3.1179754634843987e-09,6.146045625417287e-12,288.2834892081565,313.9911287765514,313.9911287765514,900.0000000000016,313.9911287765514,290.3119249357419,1.0,1040.108839155637,0.027332788300573486,7.212965588150358e-05,0.00045523147205587486
44,4.2999999999999975e-05,4.399999999999997e-05,1e-06,0.00010000000512148961,1.409452751330261e-05,1.2566371901529937e-07,1.7711707450850653e-12,2.6868623702213707e-16,3.124182672429605e-09,3.1179754634843987e-09,6.207477631443657e-12,288.2359175494838,313.8130083496639,313.8130083496639,900.0000000000016,313.8130083496639,290.2530236002497,0.9999999999999999,1040.1029514822178,0.02732214301980701,7.18190472325762e-05,0.00045327556375654416
45,4.399999999999997e-05,4.499999999999997e-05,1e-06,0.00010000000510286838,1.3995469096746716e-05,1.256637189684991e-07,1.7587226954058933e-12,2.7045118374238253e-16,3.1242432987444608e-09,3.1179754634843987e-09,6.268105711245827e-12,288.1894360498393,313.64035983305223,313.64035983305223,900.0000000000016,313.64035983305223,290.19559966958576,1.0,1040.0972617399143,0.027311826364372876,7.151705556539754e-05,0.0004513718281196598
46,4.499999999999997e-05,4.5999999999999966e-05,1e-06,0.00010000000508437661,1.3898959990754186e-05,1.2566371892202423e-07,1.7465950015865944e-12,2.7220384259087876e-16,3.1243031599773452e-09,3.1179754634843987e-09,6.327968696789117e-12,288.14398072207575,313.4728831127353,313.4728831127353,900.0000000000016,313.4728831127353,290.13956781147925,1.0,1040.0917584314525,0.027301820258875314,7.122316851713129e-05,0.00044951712426011134
47,4.5999999999999966e-05,4.699999999999996e-05,1e-06,0.0001000000050660111,1.3804810912027945e-05,1.2566371887586665e-07,1.734763877583576e-12,2.7394452203046387e-16,3.12436229266358e-09,3.1179754634843987e-09,6.387103123703573e-12,288.09949117202893,313.3102992180726,313.3102992180726,900.0000000000016,313.3102992180726,290.08484789189004,1.0,1040.0864309150454,0.027292107905311284,7.093690586840236e-05,0.000447708510371545
48,4.699999999999996e-05,4.799999999999996e-05,1e-06,0.00010000000504776896,1.3712847191122599e-05,1.2566371883001914e-07,1.723207373784248e-12,2.756735076561478e-16,3.1244207311997655e-09,3.1179754634843987e-09,6.4455433888742854e-12,288.05591039842375,313.1523484707991,313.1523484707991,900.0000000000016,313.1523484707991,290.03136462293685,1.0,1040.0812693258802,0.02728267367093531,7.065781736532278e-05,0.00044594323040273283
49,4.799999999999996e-05,4.899999999999996e-05,1e-06,0.00010000000502964741,1.3622907754091819e-05,1.2566371878447474e-07,1.7119052490370345e-12,2.7739106396755843e-16,3.124478507988295e-09,3.1179754634843987e-09,6.503321894960181e-12,288.0131846039107,312.9987888314191,312.9987888314191,900.0000000000016,312.9987888314191,289.9790472391937,1.0,1040.0762645065906,0.027273502988101647,7.038548070942883e-05,0.00044421870171141783
50,4.899999999999996e-05,4.9999999999999955e-05,1e-06,0.00010000000501164392,1.353484415213916e-05,1.2566371873922703e-07,1.700838848713687e-12,2.7909743601643377e-16,3.124535653570164e-09,3.1179754634843987e-09,6.560469183201177e-12,287.97126301669863,312.84939441810536,312.84939441810536,900.0000000000016,312.84939441810536,289.92782919955795,1.0,1040.0714079449128,0.027264582264582272,7.011949970179357e-05,0.0004425325036184412
51,4.9999999999999955e-05,5.099999999999995e-05,1e-06,0.00010000000499375616,1.3448519653901192e-05,1.2566371869427017e-07,1.6899909906422032e-12,2.807928509361117e-16,3.1245921967472133e-09,3.1179754634843987e-09,6.617014055665553e-12,287.9300977222516,312.70395417682585,312.70395417682585,900.0000000000016,312.70395417682585,289.87764791222804,1.0,1040.0666917182546,0.02725589880305849,6.985950252645298e-05,0.00044088236679105236
52,5.099999999999995e-05,5.199999999999995e-05,1e-06,0.00010000000497598195,1.3363808387178763e-05,1.2566371864959871e-07,1.6793458572535796e-12,2.824775193600596e-16,3.1246481646948208e-09,3.1179754634843987e-09,6.672983687941311e-12,287.8896435045206,312.56227068444133,312.56227068444133,900.0000000000016,312.56227068444133,289.82844448061275,0.9999999999999999,1040.0621084436866,0.02724744072868042,6.960514016222904e-05,0.0004392661633897965
53,5.199999999999995e-05,5.2999999999999947e-05,1e-06,0.00010000000495831928,1.328059454201914e-05,1.2566371860520757e-07,1.6688888954381487e-12,2.841516367364054e-16,3.124703583065956e-09,3.1179754634843987e-09,6.728403733194259e-12,287.84985769619084,312.42415906904034,312.42415906904034,900.0000000000016,312.42415906904034,289.78016346824273,0.9999999999999999,1040.057651233331,0.027239196923740203,6.935608491070254e-05,0.0004376818979185988
54,5.2999999999999947e-05,5.3999999999999944e-05,1e-06,0.00010000000494076628,1.3198771620538752e-05,1.2566371856109208e-07,1.6586067222755109e-12,2.8581538454526224e-16,3.1247584760874015e-09,3.1179754634843987e-09,6.783298418387313e-12,287.81070003744435,312.28944603392245,312.28944603392245,900.0000000000016,312.28944603392245,289.73275268096836,0.9999999999999999,1040.0533136538706,0.027231156968626862,6.911202903164621e-05,0.00043612769872267924
55,5.3999999999999944e-05,5.499999999999994e-05,1e-06,0.0001000000049233212,1.3118241743985346e-05,1.2566371851724778e-07,1.6484870379573841e-12,2.874689314253787e-16,3.1248128666488492e-09,3.1179754634843987e-09,6.837690633381911e-12,287.7721325427555,312.15796897345103,312.15796897345103,900.0000000000016,312.15796897345103,289.68616296491444,1.0,1040.0490896903298,0.027223311088355226,6.887268347574029e-05,0.0004346018100834615
56,5.499999999999994e-05,5.599999999999994e-05,1e-06,0.00010000000490598239,1.3038915001946242e-05,1.256637184736706e-07,1.6385185440066927e-12,2.891124342163607e-16,3.1248667763854944e-09,3.1179754634843987e-09,6.8916020135299305e-12,287.7341193752567,312.02957517053454,312.02957517053454,900.0000000000016,312.02957517053454,289.6403480188269,1.0,1040.0449737130098,0.02721565010404157,6.863777670767634e-05,0.000433102584863826
57,5.599999999999994e-05,5.6999999999999935e-05,1e-06,0.00010000000488874836,1.2960708853551677e-05,1.2566371843035678e-07,1.6286908680305503e-12,2.9074603892237934e-16,3.1249202257547226e-09,3.1179754634843987e-09,6.945053016362841e-12,287.69662672823745,311.90412106681555,311.90412106681555,900.0000000000016,311.90412106681555,289.5952642195856,1.0,1040.0409604478484,0.027208165388786558,6.840705361109974e-05,0.00043162847766110943
58,5.6999999999999935e-05,5.799999999999993e-05,1e-06,0.0001000000048716177,1.2883547565582286e-05,1.256637183873027e-07,1.6189944931107517e-12,2.9236988160295e-16,3.124973234107376e-09,3.1179754634843987e-09,6.998062992858693e-12,287.6596227133598,311.7814715977667,311.7814715977667,900.0000000000016,311.7814715977667,289.55087045978576,1.0,1040.0370449492032,0.027200848827487963,6.818027446994611e-05,0.0004301780384286852
59,5.799999999999993e-05,5.899999999999993e-05,1e-06,0.0001000000048545891,1.2807361697083738e-05,1.2566371834450518e-07,1.6094206930385346e-12,2.9398408919602467e-16,3.1250258197540535e-09,3.1179754634843987e-09,7.050650253743952e-12,287.6230772551933,311.6614995858595,311.6614995858595,900.0000000000016,311.6614995858595,289.5071279963986,1.0,1040.0332225754198,0.027193692780175617,6.79572140189389e-05,0.00042874990653023453
60,5.899999999999993e-05,5.999999999999993e-05,1e-06,0.0001000000048376613,1.2732087615673584e-05,1.25663718301961e-07,1.5999614715318914e-12,2.955887802783099e-16,3.125078000026858e-09,3.1179754634843987e-09,7.102832131239636e-12,287.5869619917039,311.5440851858026,311.5440851858026,900.0000000000016,311.5440851858026,289.46400030961996,1.0,1040.0294889662619,0.027186690048500425,6.773766055892541e-05,0.0004273428051940928
61,5.999999999999993e-05,6.0999999999999924e-05,1e-06,0.00010000000482083315,1.2657667055078433e-05,1.2566371825966723e-07,1.590609506634048e-12,2.971840657673929e-16,3.1251297913369865e-09,3.1179754634843987e-09,7.154625036653766e-12,287.5512501803376,311.42911537655857,311.42911537655857,900.0000000000016,311.42911537655857,289.421452971099,0.9999999999999999,1040.025840022639,0.027179833845049812,6.752141513093067e-05,0.0004259555363373003
62,6.0999999999999924e-05,6.199999999999992e-05,1e-06,0.00010000000480410359,1.2584046699502033e-05,1.2566371821762123e-07,1.5813580984836099e-12,2.987700495699517e-16,3.1251812092284506e-09,3.1179754634843987e-09,7.206044514101369e-12,287.51591660937686,311.3164834954814,311.3164834954814,900.0000000000016,311.3164834954814,289.3794535208199,1.0,1040.0222718877603,0.02717311776522072,6.730829074548197e-05,0.00042458697573205826
63,6.199999999999992e-05,6.299999999999992e-05,1e-06,0.0001000000047874716,1.2511177804374903e-05,1.256637181758205e-07,1.5722011216565484e-12,3.003468291800218e-16,3.125232268428258e-09,3.1179754634843987e-09,7.257105290688288e-12,287.4809375142545,311.2060888104369,311.2060888104369,900.0000000000016,311.2060888104369,289.3379713519724,1.0,1040.01878093021,0.02716653576139002,6.709811166196971e-05,0.0004232360684891498
64,6.299999999999992e-05,6.399999999999992e-05,1e-06,0.00010000000477093621,1.2439015839557599e-05,1.2566371813426255e-07,1.5631329803297932e-12,3.0191449623101497e-16,3.1252829828933345e-09,3.1179754634843987e-09,7.30782132343217e-12,287.4462904985341,311.09783612624767,311.09783612624767,900.0000000000016,311.09783612624767,289.2969776032097,1.0,1040.0153637281144,0.02716008211915528,6.689071271535641e-05,0.0004219018248351271
65,6.399999999999992e-05,6.499999999999991e-05,1e-06,0.00010000000475449652,1.236752016461288e-05,1.256637180929451e-07,1.554148567474727e-12,3.034731370049172e-16,3.1253333658544093e-09,3.1179754634843987e-09,7.358205843147711e-12,287.411954459285,310.9916354222187,310.9916354222187,900.0000000000016,310.9916354222187,289.25644505774596,1.0,1040.0120170549285,0.027153751435469102,6.668593868566135e-05,0.00042058331616204797
